scene_file,material,effect,script,resource_slot,logical_texture
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_dirt_4.tga
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,NormalAndRoughMap,NormalAndRoughMap#cd252798_1620
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray1_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray1_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2NormalAndRoughMap,AddOn2NormalAndRoughMap#4f1a67d_1452
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray1_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2Sampler,
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray1_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray1_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,NormalAndRoughMap,NormalAndRoughMap#87d5f9fa_1762
baskets.SCNE,basket_stanchioni2_nba:shot_dig9,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_timeout_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig9,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_gray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_gray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/scratches/scratches_metal_heavy.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_gray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_gray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/fractal_blurred_normal.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_shotclock_n.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,AddOn1Sampler,
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,AddOn3AlbedoMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/tissot_logo_official_horizontal_en.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,AddOn3NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/tissot_logo_official_horizontal_en_n.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_dirt_4.tga
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_shotclock_ao.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_plastic_coarse_decal_mat,asset.fx#75fe3aaafea99039,asset.abeaccbc34c88eac.script,NormalAndRoughMap,NormalAndRoughMap#3adb5e14_1607
baskets.SCNE,basket_stanchioni2_nba:shot_dig1,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig1,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig5,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig5,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_n.tga
baskets.SCNE,basket_stanchioni2_nba:17c4a8d6:padding_base_front_mat,asset.fx#1c3735286360f895,asset.8c305494708b2f67.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surface_variation_fractalsumbase_normal.png
baskets.SCNE,basket_stanchioni2_nba:17c4a8d6:padding_base_front_mat,asset.fx#1c3735286360f895,asset.8c305494708b2f67.script,TextureBasedNoiseMap,%databuild_art_root%/general/defaults/shader_referenced_textures/texturebasednoise/linear_pixel_noise_midtomin/linear_pixel_noise_midtomin.dds
baskets.SCNE,basket_stanchioni2_nba:caec8cc4:logo_right_mat,asset.fx#e286c99d77ba1c39,asset.1ffdd9a376ea32b4.script,AlbedoMap,%databuild_art_root%/material_library/_generic_textures/logos/flag_america_stanchion.png
baskets.SCNE,basket_stanchioni2_nba:shot_dig8,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_timeout_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig8,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray2_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray2_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2NormalAndRoughMap,AddOn2NormalAndRoughMap#1d0b567_1447
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray2_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2Sampler,
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray2_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_paint_midgray2_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,NormalAndRoughMap,NormalAndRoughMap#1a3ea9cb_1766
baskets.SCNE,basket_stanchioni2_nba:shot_dig4,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig4,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig11,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_timeout_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig11,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:487f6159:backboard_chrome_white_mat,asset.fx#d54a42e9193c3556,asset.e8d18f74d6d548ae.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_grunge_watery_012.tga
baskets.SCNE,basket_stanchioni2_nba:487f6159:backboard_chrome_white_mat,asset.fx#d54a42e9193c3556,asset.e8d18f74d6d548ae.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png
baskets.SCNE,basket_stanchioni2_nba:487f6159:backboard_chrome_white_mat,asset.fx#d54a42e9193c3556,asset.e8d18f74d6d548ae.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surfacevariation_metal_gold_normal.tga
baskets.SCNE,basket_stanchioni2_nba:shotclock_chrome_white_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_shotclock_n.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_chrome_white_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_grunge_watery_012.tga
baskets.SCNE,basket_stanchioni2_nba:shotclock_chrome_white_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_shotclock_ao.png
baskets.SCNE,basket_stanchioni2_nba:shotclock_chrome_white_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surfacevariation_metal_gold_normal.tga
baskets.SCNE,basket_stanchioni2_nba:glass_backboard_mat,basket_glass.fx#936be49fdb505ff3,basket_glass.9c3a099189c7c26f.script,Albedo,%databuild_art_root%/material_library/glass_backboard_s/texture/glass_backboard_s_basecolor.png
baskets.SCNE,basket_stanchioni2_nba:glass_backboard_mat,basket_glass.fx#936be49fdb505ff3,basket_glass.9c3a099189c7c26f.script,RoughnessTexture,%databuild_art_root%/material_library/glass_backboard_s/texture/glass_backboard_s_roughness.png
baskets.SCNE,basket_stanchioni2_nba:8851661a:padding_logo_upright_front_mat,asset.fx#1c3735286360f895,asset.8c305494708b2f67.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surface_variation_fractalsumbase_normal.png
baskets.SCNE,basket_stanchioni2_nba:8851661a:padding_logo_upright_front_mat,asset.fx#1c3735286360f895,asset.8c305494708b2f67.script,TextureBasedNoiseMap,%databuild_art_root%/general/defaults/shader_referenced_textures/texturebasednoise/linear_pixel_noise_midtomin/linear_pixel_noise_midtomin.dds
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_powder_mat,asset.fx#f06eaba7ab804f85,asset.2c6fe86843bc329f.script,AddOn1NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surface_variation_dirt2_normal.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_powder_mat,asset.fx#f06eaba7ab804f85,asset.2c6fe86843bc329f.script,AddOn1Sampler,
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_powder_mat,asset.fx#f06eaba7ab804f85,asset.2c6fe86843bc329f.script,AddOn2NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_powder_mat,asset.fx#f06eaba7ab804f85,asset.2c6fe86843bc329f.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surface_variation_dirt1_normal.png
baskets.SCNE,basket_stanchioni2_nba:bracket_metal_powder_mat,asset.fx#f06eaba7ab804f85,asset.2c6fe86843bc329f.script,TextureBasedNoiseMap,%databuild_art_root%/general/defaults/shader_referenced_textures/texturebasednoise/linear_pixel_noise_midtomin/linear_pixel_noise_midtomin.dds
baskets.SCNE,basket_stanchioni2_nba:rim_mat,simplepbr.fx#3388c04d6b9238ef,simplepbr.ce09f2c08ab5e7fd.script,AlbedoMap,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_basecolor.png
baskets.SCNE,basket_stanchioni2_nba:rim_mat,simplepbr.fx#3388c04d6b9238ef,simplepbr.ce09f2c08ab5e7fd.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_ambientocclusion.png
baskets.SCNE,basket_stanchioni2_nba:rim_mat,simplepbr.fx#3388c04d6b9238ef,simplepbr.ce09f2c08ab5e7fd.script,MetalMap,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_metallic.png
baskets.SCNE,basket_stanchioni2_nba:rim_mat,simplepbr.fx#3388c04d6b9238ef,simplepbr.ce09f2c08ab5e7fd.script,NormalAndRoughMap,NormalAndRoughMap#b7b59aa4_1323
baskets.SCNE,basket_stanchioni2_nba:c1142d1a:padding_logo_arm_mat,asset.fx#a52c568f73a86b2,asset.ac0e5071413ea790.script,AddOn1NormalMap,%databuild_art_root%/material_library/vinyl_stantionarm_m/texture/basket_stanchioni_nba_backboard_n.png
baskets.SCNE,basket_stanchioni2_nba:c1142d1a:padding_logo_arm_mat,asset.fx#a52c568f73a86b2,asset.ac0e5071413ea790.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png
baskets.SCNE,basket_stanchioni2_nba:c1142d1a:padding_logo_arm_mat,asset.fx#a52c568f73a86b2,asset.ac0e5071413ea790.script,NormalMap,%databuild_art_root%/substance_library/graphs/vinyl_matcover/exports/vinyl_matcover_normal.png
baskets.SCNE,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,asset.fx#1580f68d10338228,asset.2975a14c7de6e6cd.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_n.png
baskets.SCNE,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,asset.fx#1580f68d10338228,asset.2975a14c7de6e6cd.script,AddOn2NormalAndRoughMap,AddOn2NormalAndRoughMap#d27a071e_1439
baskets.SCNE,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,asset.fx#1580f68d10338228,asset.2975a14c7de6e6cd.script,AddOn2Sampler,
baskets.SCNE,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,asset.fx#1580f68d10338228,asset.2975a14c7de6e6cd.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png
baskets.SCNE,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,asset.fx#1580f68d10338228,asset.2975a14c7de6e6cd.script,NormalAndRoughMap,NormalAndRoughMap#3f75b1f2_1762
baskets.SCNE,basket_stanchioni2_nba:shot_down,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_down,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:plastic_coarse_black_mat,asset.fx#cbcc7d0f13621fe4,asset.6e2d6a752dd20cb9.script,AlphaMaskMap,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_dirt_4.tga
baskets.SCNE,basket_stanchioni2_nba:plastic_coarse_black_mat,asset.fx#cbcc7d0f13621fe4,asset.6e2d6a752dd20cb9.script,NormalAndRoughMap,NormalAndRoughMap#19dc7126_1623
baskets.SCNE,basket_stanchioni2_nba:shot_dig2,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig2,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig6,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig6,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_n.tga
baskets.SCNE,basket_stanchioni2_nba:metal_chrome_shiny_mat,asset.fx#53ed06b647e39d1,asset.0badb2304c6af606.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_grunge_watery_012.tga
baskets.SCNE,basket_stanchioni2_nba:metal_chrome_shiny_mat,asset.fx#53ed06b647e39d1,asset.0badb2304c6af606.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surfacevariation_metal_gold_normal.tga
baskets.SCNE,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_metal_n.png
baskets.SCNE,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2NormalAndRoughMap,AddOn2NormalAndRoughMap#e5fab78d_1448
baskets.SCNE,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,AddOn2Sampler,
baskets.SCNE,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_metal_ao.png
baskets.SCNE,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,asset.fx#9c34017bd32dbf98,asset.59966aac203e9684.script,NormalAndRoughMap,NormalAndRoughMap#6c5625ce_1764
baskets.SCNE,basket_stanchioni2_nba:led_light_strips_red,layer_base.fx#d29cd5d7a05453bc,layer_base.499ffdfbe20f62cc.script,AlbedoMap,%databuild_art_root%/substance_library/graphs/led_endofquarter_bulbs/exports/led_endofquarter_bulbs_basecolor.png
baskets.SCNE,basket_stanchioni2_nba:led_light_strips_red,layer_base.fx#d29cd5d7a05453bc,layer_base.499ffdfbe20f62cc.script,EmissiveAlbedoMap,%databuild_art_root%/substance_library/graphs/led_endofquarter_bulbs/exports/led_endofquarter_bulbs_emissive.png
baskets.SCNE,basket_stanchioni2_nba:led_light_strips_red,layer_base.fx#d29cd5d7a05453bc,layer_base.499ffdfbe20f62cc.script,NormalAndRoughMap,NormalAndRoughMap#914a651a_1602
baskets.SCNE,basket_stanchioni2_nba:24bfd8b5:logo_left_mat,asset.fx#e286c99d77ba1c39,asset.1ffdd9a376ea32b4.script,AlbedoMap,%databuild_art_root%/material_library/_generic_textures/logos/logo_nba_current.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig7,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig7,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_n.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig3,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig3,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:backboard_rubber_ltgray_mat,asset.fx#8c99e66e404e76df,asset.5ea21e973602dee1.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_n.png
baskets.SCNE,basket_stanchioni2_nba:backboard_rubber_ltgray_mat,asset.fx#8c99e66e404e76df,asset.5ea21e973602dee1.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/scratches/scratches_metal_heavy.tga
baskets.SCNE,basket_stanchioni2_nba:backboard_rubber_ltgray_mat,asset.fx#8c99e66e404e76df,asset.5ea21e973602dee1.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png
baskets.SCNE,basket_stanchioni2_nba:backboard_rubber_ltgray_mat,asset.fx#8c99e66e404e76df,asset.5ea21e973602dee1.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/fractal_blurred_normal.png
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_black_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_black_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/scratches/scratches_metal_heavy.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_black_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png
baskets.SCNE,basket_stanchioni2_nba:bracket_rubber_black_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/fractal_blurred_normal.png
baskets.SCNE,basket_stanchioni2_nba:shot_dots,asset.fx#9db47401f4082e4f,asset.8c23e005f8ff0caa.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_timeout_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dots,asset.fx#9db47401f4082e4f,asset.8c23e005f8ff0caa.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_n.tga
baskets.SCNE,basket_stanchioni2_nba:rimr_mat,basket_rim_reflection.fx#b1be57904d02fc50,basket_rim_reflection.d6a0ed441ce24703.script,Albedo,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_basecolor.png
baskets.SCNE,basket_stanchioni2_nba:shot_up,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_up,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_chrome_midgray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_n.png
baskets.SCNE,basket_stanchioni2_nba:bracket_chrome_midgray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,AlphaMask2Map,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_grunge_watery_012.tga
baskets.SCNE,basket_stanchioni2_nba:bracket_chrome_midgray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,ConeAngleMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png
baskets.SCNE,basket_stanchioni2_nba:bracket_chrome_midgray_mat,asset.fx#987a30aa299db703,asset.5ea21e973602dee1.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surfacevariation_metal_gold_normal.tga
