scene_file,object,type,target,transform,matrix
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_c_5:clutchtime_ceilingpanel_c_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_c_5:clutchtime_ceilingpanel_c_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-4347.04834,1303.35718,0.000128744,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena@curtain100x20_arena_straight500c_161:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[-1.0,-8.74227766e-08,-1.50995803e-07,0.0,-8.74227624e-08,1.0,-8.74227766e-08,0.0,1.50995817e-07,-8.74227624e-08,-1.0,0.0,-1050.20203,1375.11304,2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_50:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,799.952515,1868.73694,-2370.64673,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_6:clutchtime_balcony_b_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_8:clutchtime_balcony_b_low,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-799.952454,1259.86694,-2346.14648,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_74:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-643.419128,1346.90601,-2512.00171,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena@curtain100x20_arena_straight500c_179:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[-1.0,-8.74227766e-08,-1.50995803e-07,0.0,-8.74227624e-08,1.0,-8.74227766e-08,0.0,1.50995817e-07,-8.74227624e-08,-1.0,0.0,-38.6512756,759.56488,2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_e:clutchtime_ceilingpanel_e_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_e:clutchtime_ceilingpanel_e_low,,"[7.54979013e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,7.54979013e-08,0.0,2673.89453,1322.90686,0.003852036,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena@curtain100x20_arena_straight500c_163:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[-1.0,-8.74227766e-08,-1.50995803e-07,0.0,-8.74227624e-08,1.0,-8.74227766e-08,0.0,1.50995817e-07,-8.74227624e-08,-1.0,0.0,-852.692078,1375.11304,2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_131:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,-801.322388,759.564941,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@mural_lights@lighting_suspendedtrack_metalb_1:lighting_suspendedtrack_metalb_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@mural_lights@lighting_suspendedtrack_metalb_19:lighting_suspendedtrack_metalb_low,,"[3.13916473e-07,0.0,1.0,0.0,-1.74512877e-07,1.0,5.47824657e-14,0.0,-1.0,-1.74512877e-07,3.13916473e-07,0.0,2021.32471,1490.65344,636.640869,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_28:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,-1036.3186,643.825256,2470.06836,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling@clutchtime_ceiling_b_0:clutchtime_ceiling_b_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling@clutchtime_ceiling_b_0:clutchtime_ceiling_b_low,,"[1.94707184e-07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.94707184e-07,0.0,1640.65869,2036.47974,-2461.57446,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_corner_2:clutchtime_wall_corner_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_corner_2:clutchtime_wall_corner_low,,"[1.94707184e-07,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.94707184e-07,0.0,-1213.91064,0.0,2489.29004,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_144:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,592.628357,150.346619,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_136:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,750.118103,150.346558,-2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_corner_0:clutchtime_wall_corner_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_corner_2:clutchtime_wall_corner_low,,"[7.54979013e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,7.54979013e-08,0.0,1213.28418,0.0,-2489.29004,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_8:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,129.642151,1868.73694,2396.93481,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_121:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,692.731995,759.564941,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_f:clutchtime_ceilingpanel_f_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_f:clutchtime_ceilingpanel_f_low,,"[7.54979013e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,7.54979013e-08,0.0,2837.3042,1322.90686,0.003852036,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_153:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,-1006.50256,150.346619,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_column_5:clutchtime_balcony_column_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_column_5:clutchtime_balcony_column_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,-385.99408,0.0,2778.37354,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_91:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-8.74227766e-08,0.0,0.0,-8.74227766e-08,1.0,-8.74227766e-08,0.0,7.64274186e-15,-8.74227766e-08,-1.0,0.0,747.182007,1346.90601,2512.00195,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_f_1:clutchtime_ceilingpanel_f_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_f:clutchtime_ceilingpanel_f_low,,"[7.54979013e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,7.54979013e-08,0.0,1248.78809,2396.53125,0.003852036,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_0:clutchtime_balcony_b_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_8:clutchtime_balcony_b_low,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.313323975,1259.86694,-2346.14648,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_81:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-8.74227766e-08,0.0,0.0,-8.74227766e-08,1.0,-8.74227766e-08,0.0,7.64274186e-15,-8.74227766e-08,-1.0,0.0,-206.856995,1375.11304,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_d_1:clutchtime_ceilingpanel_d_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_d_1:clutchtime_ceilingpanel_d_low,,"[7.54979013e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,7.54979013e-08,0.0,945.313965,2396.53125,0.003852036,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_b_3:clutchtime_ceilingpanel_b_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_b_3:clutchtime_ceilingpanel_b_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-2305.96021,1303.35718,0.000128744,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena@curtain100x20_arena_straight500c_181:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[-1.0,-8.74227766e-08,-1.50995803e-07,0.0,-8.74227624e-08,1.0,-8.74227766e-08,0.0,1.50995817e-07,-8.74227624e-08,-1.0,0.0,-236.161285,1375.11304,2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_d_3:clutchtime_ceilingpanel_d_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling_panels@clutchtime_ceilingpanel_d_1:clutchtime_ceilingpanel_d_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-2533.85376,1303.35718,0.000128744,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_a:clutchtime_balcony_a_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_a:clutchtime_balcony_a_low,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.155304,1869.26855,-2361.57861,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_148:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-854.540283,759.56488,-2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_137:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,650.779907,759.56488,-2869.0,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_15:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-953.878479,150.346558,-2969.03101,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_93:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-8.74227766e-08,0.0,0.0,-8.74227766e-08,1.0,-8.74227766e-08,0.0,7.64274186e-15,-8.74227766e-08,-1.0,0.0,852.860291,1346.90601,2512.00195,1.0]"
